N_analysis,DATE,Col_X,Col_Y,ColX_v,ColY_v,corr,rvalue_lower,rvalue,rvalue_upper,chk_rvalue,ortho_lower,ortho_resid,ortho_upper,chk_ortho
26,2025-11-14,Japan 10Y,China 10Y,1.714,1.808,0.9056538297366112,-0.24897500962812824,-0.09400000000000008,-0.09571729806417946,1,-0.06448314339946488,-0.0550379658708533,0.06448314344940347,0
26,2025-11-14,Australia 10Y,Australia 30Y,4.4393,5.0361,0.9146290296964248,-0.7609421828181355,-0.5968,-0.6146885864126332,1,-0.06812314628660335,-0.07599420368801191,0.06812314672876782,1
52,2025-11-14,Australia 2Y,Australia 3Y,3.6924,3.7649,0.9956181909093454,-0.09509134455837641,-0.07249999999999979,0.02747595994299179,0,-0.04397401478997786,0.04989336882146045,0.0439740148496385,1
26,2025-11-14,KRW,CAD,1451.35,1.4023,0.9214371496687496,986.1862143283879,1034.9782500178278,1033.1726319137213,1,-0.01067021854837921,-0.004665824353437875,0.010670218632892648,0
26,2025-11-14,TRY,ARS,42.2668,1403.3606,0.9309609980683831,0.027205337669891184,0.03011827466155171,0.034677525739893265,0,-85.00569988617947,-90.23730212778673,85.00569841919277,1
52,2025-11-14,DXY,GBP,99.299,1.3171,-0.9800538035505576,66.13946055132119,75.39214941917851,89.54793135558485,0,-0.017199395987146718,-0.018190772869654426,0.01719939598719822,1
52,2025-11-14,DXY,CHF,99.299,0.794,0.9792589346624739,117.27405821398503,125.0617128463476,124.8762659587345,1,-0.018261319501992376,-0.021078622191284868,0.018261319502037042,1
52,2025-11-14,DXY,TRY,99.299,42.2668,-0.9006891524012002,2.092289876722371,2.349338014706578,3.2063823364694795,0,-2.1742862321702052,2.219337202232232,2.174286237882839,1
52,2025-11-14,DXY,HUF,99.299,330.77,0.9625764369599896,0.26638257737275056,0.30020558091725374,0.29951371833515444,1,-13.4620683751945,-14.88347450563964,13.462068379806182,1
52,2025-11-14,EMFX,GBP,46.265,1.3171,0.938432147211571,33.41294729139549,35.126414091564804,35.317278824302726,0,-0.029898336385570233,-0.041373028937049305,0.029898336385190204,1
52,2025-11-14,EMFX,SGD,46.265,1.2986,-0.9612815460094782,31.182137919645864,35.62682889265363,37.43074231654307,0,-0.016724184685543226,0.0196921378911179,0.01672418468557468,1
52,2025-11-14,EUR,GBP,1.1621,1.3171,0.9560438603206814,0.8180937614667065,0.8823172120567914,0.885689469474009,0,-0.02554415041033085,-0.028943755542189642,0.025544149281248107,1
52,2025-11-14,GBP,CHF,1.3171,0.794,-0.9387504811083018,1.3049537897265213,1.6588161209068009,1.824697856928374,0,-0.03158767385386007,-0.039983014962406305,0.031587674097953995,1
52,2025-11-14,GBP,PLN,1.3171,3.6379,-0.9455555751407013,0.29111226522226963,0.3620495340718546,0.3988935719289035,0,-0.12654515412394926,-0.14394199258296236,0.12654515411623388,1
52,2025-11-14,NOK,MYR,10.0903,4.1328,0.920575291646588,2.3021312175078545,2.44151664730933,2.5603855402348907,0,-0.08821290492081872,-0.10469447609864524,0.08821290858555904,1
52,2025-11-14,SGD,MYR,1.2986,4.1328,0.9294742659745514,0.2977574882218862,0.31421796360820753,0.3097184084531145,1,-0.08882170855125707,-0.13309654379651192,0.08882170836611297,1
52,2025-11-14,SGD,MXN,1.2986,18.304,0.9108602851853913,0.06423231073571349,0.07094624125874126,0.0709410447881366,1,-0.7692811910686181,-0.6921428479642842,0.7692811819064154,0
52,2025-11-14,MYR,THB,4.1328,32.4,0.954143784627298,0.12835042382553172,0.12755555555555556,0.1324696304467907,1,-0.5048488855660049,0.671194352612865,0.504848886877223,1
